Date,Average of pres1,Average of pres2,Average of pres3,Average of pres4,Average of pres5,Average of pres6,Average of pres7,Average of pres8,Average of pres9,Average of pres10,Average of pres11,Average of pres12,Average of pres13,Average of pres14,Average of pres15,Average of pres16,Average of pres17,Average of pres18,Average of pres19,Average of pres20,Average of pres21,Average of pres22,Average of pres23,Average of pres24,Average of pres25,Average of pres26,Average of pres27,Average of pres28,Average of pres29,Average of pres30,Average of pres31,Average of pres32,Average of pres33,Average of pres34,Average of pres35,Average of pres36,Average of pres37,Average of pres38,Average of pres39,Average of pres40,Average of pres41,Average of pres42,Average of pres43,Average of pres44,Average of pres45,Average of pres46,Average of pres47,Average of pres48,Average of pres49,Average of pres50,Average of pres51,Average of pres52,Average of pres53,Average of pres54,Average of pres55,Average of pres56,Average of pres57,Average of pres58,Average of pres59,Average of pres60
10/12/2019,101695.2708,101698.5267,101716.9792,101709.9915,101698.418,101691.752,101682.4714,101678.5788,101659.806,101642.0462,101632.5521,101625.9915,101691.3249,101680.7109,101705.3516,101699.2728,101710.2591,101714.5794,101705.6178,101685.6725,101641.5117,101600.071,101583.6986,101590.3118,101625.3529,101644.0176,101659.2708,101675.3789,101677.6178,101677.8848,101675.0059,101660.8724,101627.1654,101532.9251,101526.5247,101531.6452,101568.9772,101577.8841,101559.0579,101566.1517,101547.3783,101536.179,101508.1243,101478.1517,101446.3112,101438.2585,101534.526,101414.7383,101404.9258,101441.5658,101363.6979,101328.8724,101363.3255,101269.6706,101247.2728,101184.6582,101290.5775,101314.3646,101413.6719,101226.2585
10/13/2019,101641.8177,101650.8301,101672.1634,101669.2832,101665.39,101663.2565,101664.1628,101678.0827,101680.2695,101661.4434,101650.3503,101647.0436,101637.123,101636.9635,101662.4023,101655.7904,101666.6699,101669.6035,101668.5905,101670.0299,101646.6706,101610.8828,101597.39,101608.4844,101563.7363,101593.6035,101606.6699,101622.1374,101624.2702,101625.0163,101625.4427,101630.5632,101615.2025,101532.8561,101533.6569,101546.4036,101491.3105,101505.5501,101488.4837,101499.1497,101483.5762,101474.4036,101450.2435,101435.097,101416.4831,101418.349,101524.0573,101415.3626,101318.8294,101350.7767,101279.7897,101252.1634,101292.6432,101204.6439,101188.5905,101133.763,101244.8574,101270.7767,101382.8301,101210.403
10/14/2019,101638.4748,101651.2728,101675.4471,101675.152,101675.152,101675.152,101674.3642,101685.39,101685.8822,101682.5355,101688.0018,101691.1508,101643.9387,101646.0559,101669.8816,101660.7746,101671.6544,101676.875,101678.7452,101683.5198,101663.9754,101639.5066,101636.9477,101654.7218,101577.378,101612.7758,101622.277,101633.9459,101638.0306,101643.348,101648.9105,101658.116,101647.729,101572.1599,101578.2638,101593.6737,101510.9165,101534.6947,101514.018,101520.4675,101506.0421,101503.7308,101486.5469,101474.9297,101459.6689,101464.2464,101571.1743,101464.9345,101345.2067,101387.1502,101314.9778,101285.6875,101326.6466,101244.6274,101233.1556,101181.6617,101294.006,101321.3786,101433.8708,101263.4832
10/15/2019,101468.9609,101480.0547,101504.5885,101507.7891,101510.8822,101513.069,101519.8952,101541.4401,101551.8405,101540.9069,101538.8809,101541.4408,101456.0007,101461.4408,101494.2396,101497.4941,101508.9596,101514.2422,101519.6816,101527.2533,101506.1348,101479.681,101479.8411,101503.6283,101377.3874,101411.0938,101432.748,101456.8542,101466.987,101478.1875,101490.3483,101491.0944,101467.5742,101388.5879,101407.4674,101438.2936,101303.1484,101315.5736,101308.054,101327.041,101324.1602,101333.8678,101327.9473,101303.1465,101272.748,101270.4004,101388.7474,101294.3483,101133.3867,101158.1341,101095.041,101073.334,101118.8815,101050.668,101053.3333,101002.347,101104.9596,101126.5612,101244.2148,101081.0684
10/16/2019,101303.4668,101319.1986,101347.1452,101348.9063,101344.64,101341.2259,101341.0664,101354.8249,101358.5592,101344.0508,101337.972,101334.7181,101294.2383,101297.1738,101326.7734,101324.2122,101332.8522,101335.8392,101336.1068,101338.6647,101314.8262,101284.7995,101280.2656,101299.0931,101220.4258,101251.3587,101267.3587,101283.9993,101287.5195,101290.7201,101293.8112,101295.1465,101274.666,101196.0007,101209.8665,101234.1849,101153.8659,101167.7865,101150.985,101159.3581,101144.6927,101140.6927,101121.0645,101099.7331,101074.6126,101073.7057,101184.8522,101083.0924,100990.0801,101019.6797,100946.5586,100913.0124,100946.9857,100864.4785,100852.1602,100796.8522,100901.1725,100923.306,101033.3867,100862.8268
10/17/2019,101534.651,101543.9837,101566.8099,101566.7031,101567.877,101569.0495,101571.0762,101584.4629,101585.4238,101570.0632,101564.25,101566.1165,101535.0234,101535.3438,101562.5423,101558.1693,101570.1699,101574.1172,101574.0645,101575.291,101550.5977,101518.1706,101509.6895,101525.2637,101465.3698,101497.6908,101511.4505,101526.8639,101530.3307,101533.9043,101536.8366,101539.8229,101521.1035,101438.8092,101444.4635,101461.5293,101396.8359,101417.4238,101398.8099,101406.7031,101391.2363,101386.1706,101365.849,101347.7168,101325.8503,101326.6497,101435.1842,101326.3822,101225.7975,101267.9837,101194.5964,101163.6094,101203.0755,101117.2637,101103.2897,101047.4499,101158.2233,101183.9824,101295.6107,101119.0241
10/18/2019,101181.2897,101197.0247,101227.1035,101232.9694,101234.1966,101235.3164,101232.9694,101240.597,101236.9173,101237.7174,101247.5299,101250.4629,101175.7435,101182.6764,101218.998,101224.3835,101236.5436,101241.3444,101241.5573,101242.7832,101220.7565,101197.6641,101197.0241,101215.903,101103.4772,101142.569,101167.5846,101193.6107,101200.8105,101205.6628,101210.6771,101219.584,101209.7708,101134.4635,101140.224,101155.1576,101040.3835,101064.5423,101056.6504,101074.8372,101065.5039,101062.5163,101044.6491,101034.25,101019.6908,101025.0768,101134.1439,101028.7025,100876.222,100918.3034,100854.0905,100834.0365,100882.623,100799.3158,100787.6374,100735.5286,100849.4499,100877.0228,100994.3574,100827.0508
10/19/2019,100791.0579,100804.1777,100830.7917,100833.1908,100831.0579,100829.7773,100821.6172,100820.6569,100808.1237,100783.2702,100766.6302,100759.8034,100780.0697,100784.444,100817.2422,100819.377,100829.776,100831.6419,100824.4427,100810.3105,100771.0033,100728.6569,100712.6576,100721.7227,100704.8171,100738.791,100757.5638,100775.9635,100778.7363,100780.4434,100780.444,100768.6035,100736.0163,100645.2428,100646.2572,100660.7116,100639.5905,100656.069,100638.7376,100645.9896,100629.0827,100623.2702,100601.0827,100570.2044,100536.123,100528.1764,100635.696,100531.696,100475.377,100508.2832,100433.6693,100400.7643,100436.1771,100345.7227,100323.056,100258.5228,100359.4837,100379.056,100493.7246,100328.4427
10/20/2019,100958.748,100968.5618,100989.8952,100988.9355,100987.9219,100987.0163,100993.5755,101016.8281,101029.9473,101015.4414,101009.0417,101010.8548,100937.8945,100945.2546,100972.6152,100969.5742,100979.2279,100983.6016,100989.4154,100999.5482,100980.9876,100952.8281,100949.7357,100971.5482,100845.9492,100886.5345,100903.6009,100924.6152,100933.3086,100943.1217,100954.2155,100958.0026,100937.6816,100859.4421,100876.401,100906.2148,100753.5755,100775.069,100767.6549,100788.6693,100786.748,100794.5345,100785.8945,100762.2142,100732.8809,100730.6947,100851.8678,100762.2682,100567.9753,100601.8418,100547.1211,100535.0137,100587.8685,100512.8815,100505.6283,100449.6283,100551.388,100571.3333,100697.1484,100545.3079
10/21/2019,100932.5345,100946.8281,100975.7891,100987.735,101001.8145,101010.8822,101025.974,101057.9753,101078.5612,101067.8418,101069.9759,101077.9225,100908.9609,100921.3353,100964.375,100980.5358,100992.5866,100997.6016,101009.334,101030.7747,101023.2012,101003.6823,101008.9609,101038.0807,100823.5742,100863.5221,100896.1628,100929.4948,100943.6803,100958.9349,100977.4414,100990.5612,100978.9349,100909.2292,100934.1888,100969.5482,100747.4681,100763.9486,100764.1087,100789.2813,100792.2669,100810.349,100813.2813,100796.3216,100772.0547,100773.8685,100897.4954,100810.4564,100576.694,100604.8555,100549.0684,100535.7878,100589.8685,100527.3086,100532.8548,100484.2155,100587.2025,100607.8411,100732.5345,100580.1621
10/22/2019,101736.9473,101739.8275,101756.5208,101750.5462,101745.3203,101741.8522,101736.9993,101740.6797,101730.9199,101704.8945,101689.2663,101684.3594,101724.8939,101716.3594,101739.7188,101732.3079,101742.5456,101747.0273,101741.9596,101729.694,101690.332,101648.5736,101633.9076,101644.7858,101653.2142,101674.8665,101690.7064,101708.1478,101710.8125,101710.7057,101707.6667,101693.3724,101656.1999,101562.653,101565.9069,101581.9069,101595.347,101604.0931,101588.2012,101598.8678,101581.8522,101569.9069,101538.5475,101501.373,101462.4935,101451.8268,101557.8014,101447.5072,101433,101463.9329,101389.8535,101358.2285,101392.8405,101293.64,101263.8262,101194.7083,101295.347,101315.2402,101421.5859,101242.0664
10/23/2019,102074.1556,102087.276,102114.2096,102116.1289,102115.1159,102114.582,102112.1816,102120.6087,102117.5684,102107.5417,102106.209,102106.2077,102068.1276,102071.1146,102103.0078,102102.6354,102114.0482,102118.0495,102117.3555,102117.515,102092.8216,102061.888,102053.7279,102067.9674,101990.7949,102024.2884,102043.9154,102065.888,102071.7012,102075.9674,102080.4479,102086.6361,102072.3945,101990.6348,101992.5566,102006.3685,101911.9141,101931.0085,101920.1276,101937.1426,101926.6875,101923.6484,101906.2083,101893.6745,101876.7148,101880.7142,101991.2754,101882.4219,101728.7148,101769.1953,101704.1816,101683.2754,101732.1296,101650.1009,101642.4225,101590.901,101706.8477,101734.7956,101853.7819,101681.4622
10/24/2019,101861.6413,101873.9616,101901.5352,101907.7754,101913.6953,101918.015,101920.6283,101935.8288,101940.5215,101927.7214,101923.0814,101924.1471,101850.6022,101856.5749,101894.5482,101902.6022,101915.4551,101920.1491,101923.082,101928.735,101907.8281,101876.6276,101868.5234,101884.0938,101775.8275,101814.388,101840.5755,101866.2298,101874.1217,101881.2142,101889.1628,101895.6146,101880.0417,101798.1217,101803.4551,101820.5215,101716.3613,101737.9089,101726.8698,101740.735,101730.1217,101731.9883,101719.0814,101703.1875,101682.2813,101683.9355,101795.0286,101687.3477,101553.8555,101592.5749,101522.1758,101496.4154,101542.5482,101461.9082,101452.6276,101398.4421,101510.8158,101537.1087,101653.3743,101479.7214
10/25/2019,101411.4714,101421.7637,101445.6035,101444.5371,101437.6042,101433.9766,101432.2702,101440.3229,101435.4167,101438.1908,101447.7357,101454.6178,101405.6563,101407.8971,101438.6699,101438.7227,101450.7767,101455.9492,101453.4954,101448.3763,101419.4154,101395.2559,101396.0566,101417.8691,101336.5892,101374.4043,101394.4564,101414.6706,101419.3626,101422.3496,101424.2695,101425.2298,101406.8294,101328.5365,101337.2832,101355.8984,101281.4974,101310.7227,101295.4701,101305.4421,101289.7637,101283.043,101261.1764,101244.4303,101224.696,101227.097,101336.1107,101230.3503,101121.6576,101175.2572,101102.1895,101070.4043,101108.9102,101022.9368,101008.8047,100954.724,101066.4036,101093.709,101206.1901,101033.5482
10/26/2019,100787.2376,100785.5859,100796.5723,100789.3724,100790.1712,100790.5443,100799.2917,100823.1862,100834.278,100814.0117,100804.4121,100805.5846,100763.5586,100760.625,100782.6517,100775.9316,100786.599,100789.2122,100792.3581,100799.9844,100779.6113,100748.9453,100744.0384,100764.6243,100670.278,100695.6654,100709.3184,100727.7715,100733.8522,100740.1471,100747.6113,100751.1302,100730.8105,100652.0918,100668.8366,100697.9049,100569.7461,100574.4915,100564.571,100584.7845,100580.0391,100582.972,100570.0111,100547.8255,100520.0924,100518.4909,100637.319,100543.3457,100372.3053,100393.2122,100333.8516,100317.0514,100365.2116,100289.3177,100285.1042,100231.6113,100334.7585,100355.1849,100476.1445,100316.6784
10/27/2019,101440.5174,101450.2151,101473.2554,101473.2554,101473.2554,101473.3047,101477.8828,101497.2308,101505.009,101481.9681,101468.2338,101463.4087,101428.3083,101431.1629,101460.4069,101458.3389,101469.5619,101474.5355,101477.9814,101486.0565,101466.8065,101429.7849,101414.4249,101424.3696,101345.5517,101380.4543,101401.3786,101426.6821,101433.8714,101438.2518,101442.8311,101449.8215,101434.1178,101349.2428,101349.1448,101361.2554,101264.0745,101281.3534,101277.122,101302.4754,101297.3546,101293.5132,101271.4099,101251.3726,101227.3474,101225.4285,101333.0944,101224.8359,101082.2656,101115.2975,101056.122,101038.7933,101085.6611,100999.9988,100988.9243,100933.1454,101041.8954,101064.6899,101181.0709,101011.4706
