Date," Discharge, cubic feet per second (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL","Gage height, feet (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum), TOP USGS 02297460 PEACE RIVER AT HARBOUR HEIGHTS FL","Temperature, water, degrees Celsius (Maximum), TOP USGS 02297460 PEACE RIVER AT HARBOUR HEIGHTS FL"
6/15/2005,178.962176,3.980688,194,30.5
6/16/2005,180.094848,3.995928,189,31.7
6/17/2005,178.679008,3.97764,186,32.3
6/18/2005,173.298816,3.913632,187,32.4
6/19/2005,164.520608,3.806952,187,31.8
6/20/2005,152.344384,3.6576,191,30.7
6/21/2005,139.601824,3.48996,195,29.3
6/22/2005,122.894912,3.26136,198,28.4
6/23/2005,107.037504,3.03276,214,27.7
6/24/2005,100.241472,2.932176,221,28
6/25/2005,103.35632,2.977896,234,28.9
6/26/2005,107.60384,3.041904,231,29.8
6/27/2005,106.754336,3.026664,214,29.5
6/28/2005,109.586016,3.072384,215,30.5
6/29/2005,117.231552,3.182112,218,29.3
6/30/2005,128.84144,3.349752,212,29.9
7/1/2005,134.5048,3.425952,207,30.9
7/2/2005,139.318656,3.486912,206,30.3
7/3/2005,141.017664,3.511296,201,31.6
7/4/2005,144.41568,3.553968,202,31.7
7/5/2005,148.6632,3.608832,189,32.7
7/6/2005,152.91072,3.663696,181,32
7/7/2005,154.892896,3.68808,194,33
