Date,sm0,sm1,sm2,sm3,sm6,sm7,sm10,sm11,sm14,sm15,sm18,sm19,sm23
2/18/2004,0.189731347,0.16212402,0.18695209,0.166635792,0.170736287,0.16116883,0.167474158,0.158394696,0.16256121,0.154842315,0.158318567,0.15514016,0.166834121
2/19/2004,0.287108421,0.26723963,0.277987003,0.224258706,0.215346917,0.191475637,0.200847357,0.179428931,0.198733859,0.167124987,0.190301552,0.175914496,0.194758792
2/20/2004,0.245633986,0.234013036,0.254401237,0.235134572,0.22097829,0.204030931,0.200802416,0.198269814,0.203151599,0.200165957,0.201987171,0.197242423,0.20763697
2/21/2004,0.248443007,0.234095991,0.234420002,0.209083102,0.212098231,0.208362813,0.210557565,0.207848395,0.211020392,0.214533001,0.21553426,0.225798488,0.216305843
2/22/2004,0.207858011,0.181760997,0.234420002,0.19870918,0.192466904,0.168293354,0.174222907,0.159885148,0.171131194,0.152481988,0.176034059,0.175914496,0.173376435
2/23/2004,0.218271935,0.192579702,0.205475405,0.17359516,0.158891812,0.152191162,0.160829812,0.155084863,0.166182414,0.1561317,0.17257149,0.169324834,0.169002739
2/24/2004,0.195139989,0.181760997,0.226135001,0.213197606,0.202413233,0.207845392,0.211031449,0.201149792,0.20702119,0.205366492,0.196505847,0.197715983,0.191500856
2/25/2004,0.250805094,0.217961377,0.248867869,0.229398474,0.202012211,0.169613943,0.143832311,0.118029699,0.102065906,0.092110805,0.103838316,0.093554789,0.132852049
2/26/2004,0.244940862,0.248562217,0.258773237,0.254560828,0.252488762,0.244692221,0.251481503,0.243994027,0.232123315,0.302540511,0.246682614,0.296153069,0.282691237
2/27/2004,0.192588636,0.167533661,0.187590357,0.162811354,0.167802596,0.157820281,0.170080573,0.161930507,0.17115666,0.168177047,0.177368197,0.175318678,0.174494734
2/28/2004,0.252926022,0.24971281,0.243701249,0.210558519,0.206841365,0.167167753,0.176810578,0.172121152,0.175577372,0.199900433,0.210980594,0.212795898,0.211064294
2/29/2004,0.237904996,0.223224998,0.245049998,0.230275045,0.215554171,0.225275807,0.23753929,0.23479072,0.260660461,0.25643459,0.265671719,0.278735042,0.271535926
3/1/2004,0.258980989,0.243847743,0.245049998,0.224285367,0.21986165,0.222673215,0.238611403,0.234141059,0.24886335,0.25643459,0.247502022,0.256962508,0.244444874
3/2/2004,0.292764574,0.284342229,0.30002746,0.277732015,0.264453858,0.244879335,0.214557931,0.196346596,0.209483892,0.226234883,0.263651133,0.259342998,0.241936609
3/3/2004,0.193070281,0.163542462,0.187721887,0.164566023,0.162295338,0.160916134,0.164945003,0.153715487,0.157868107,0.15109684,0.157845331,0.152659187,0.159929994
3/4/2004,0.220479995,0.195181996,0.231064841,0.21243082,0.21899575,0.224754006,0.223225906,0.206288621,0.233011752,0.222025603,0.237859771,0.237445563,0.212396637
3/5/2004,0.25250939,0.234813899,0.241612121,0.207584456,0.203749612,0.180373386,0.187811434,0.17225033,0.188888429,0.167244658,0.178830221,0.171809347,0.172896633
3/6/2004,0.207858011,0.195181996,0.203125,0.183060348,0.174749058,0.161589423,0.170538732,0.149186336,0.173433086,0.134480998,0.177100292,0.175914496,0.174337762
3/7/2004,0.297741744,0.288699418,0.306375235,0.267100155,0.256901562,0.24545598,0.241338387,0.23533839,0.237787798,0.243035659,0.222861167,0.227678726,0.225265471
3/8/2004,0.182992995,0.167989999,0.169009984,0.138618811,0.141082083,0.126435276,0.13957776,0.122341108,0.144565066,0.118781,0.153851144,0.152887002,0.161622029
3/9/2004,0.169124007,0.146195501,0.189429998,0.171887941,0.169976259,0.158255791,0.166960937,0.153174148,0.166697565,0.152481988,0.176992916,0.175914496,0.177286553
3/10/2004,0.240706641,0.241866857,0.266624928,0.219864339,0.208072841,0.192444906,0.191661656,0.185179338,0.203230336,0.185684204,0.192129421,0.190071499,0.190658041
3/11/2004,0.220479995,0.181760997,0.203125,0.181145104,0.16950286,0.154886546,0.166413421,0.15295718,0.170315577,0.152481988,0.166895246,0.168709993,0.173615801
3/12/2004,0.187507731,0.159439159,0.189579337,0.165139884,0.173537775,0.158313551,0.1664884,0.15632551,0.16379182,0.155245659,0.158350108,0.155504258,0.163623778
3/13/2004,0.218467459,0.192253545,0.201046392,0.160388485,0.181311443,0.120460965,0.152121395,0.144674465,0.151637077,0.13640216,0.141519204,0.138644159,0.146586791
3/14/2004,0.193487474,0.165745276,0.19153756,0.169141471,0.174284003,0.162061068,0.165656229,0.158907553,0.160172675,0.156398523,0.157400842,0.155307301,0.164695136
3/15/2004,0.201008126,0.184391856,0.184800357,0.160587922,0.164896846,0.107157476,0.124239251,0.113486737,0.115645833,0.128905386,0.157408103,0.146325544,0.166611895
3/16/2004,0.204006955,0.212354004,0.234420002,0.212332843,0.209620274,0.209717021,0.208537346,0.200480745,0.205033342,0.196199998,0.212888582,0.225798488,0.213885454
3/17/2004,0.248443007,0.234095991,0.245049998,0.215278366,0.223669958,0.210224567,0.219472338,0.212008196,0.219691332,0.214533001,0.215595176,0.225798488,0.219708051
3/18/2004,0.194545984,0.165762246,0.201171398,0.181370422,0.187984154,0.174206465,0.154411986,0.161060125,0.146277487,0.158273399,0.128411487,0.139805555,0.122091547
3/19/2004,0.177628899,0.156132429,0.181903419,0.164429717,0.166654193,0.161527952,0.163382223,0.1572989,0.156858232,0.152523289,0.152524601,0.151925775,0.157440716
3/20/2004,0.156056985,0.146195501,0.169009984,0.14869011,0.138619763,0.141506671,0.132819622,0.132764875,0.127084653,0.126631007,0.124898456,0.118692003,0.124266875
3/21/2004,0.210715839,0.1991373,0.184357882,0.169558409,0.159426659,0.159933016,0.155064255,0.156814247,0.1573174,0.155232251,0.155936299,0.15224224,0.159882849
3/22/2004,0.169124007,0.167989999,0.189429998,0.155583279,0.132946592,0.122945462,0.118618951,0.101037062,0.11433625,0.071717136,0.114269008,0.098338,0.129424122
3/23/2004,0.187502983,0.163209948,0.18776412,0.169713924,0.166260792,0.161134012,0.156983261,0.153474858,0.152976497,0.148142165,0.152030575,0.147844686,0.153566257
3/24/2004,0.207858011,0.195181996,0.203125,0.181767229,0.164813445,0.160172267,0.151792028,0.150340702,0.148533813,0.134480998,0.152752137,0.152887002,0.166230215
3/25/2004,0.14778249,0.100379996,0.162299991,0.152788354,0.134451817,0.147503486,0.13893774,0.138563164,0.140792339,0.134480998,0.146610696,0.134692997,0.142780583
3/26/2004,0.256163524,0.238520458,0.265453756,0.253888369,0.228864089,0.241113901,0.219086707,0.228378132,0.218916088,0.217606708,0.199491376,0.200744436,0.198742701
3/27/2004,0.156056985,0.137999997,0.175720006,0.160956135,0.148206875,0.15016773,0.140394485,0.139010748,0.13802939,0.134480998,0.136461246,0.126692504,0.135578811
3/28/2004,0.179695252,0.150162356,0.189365149,0.168774754,0.175122516,0.162865599,0.162180839,0.160059085,0.155444674,0.152065444,0.148405188,0.144557509,0.141676978
3/29/2004,0.217598915,0.172977775,0.214905441,0.185628653,0.197737277,0.15651764,0.16632688,0.166668311,0.163888335,0.13773945,0.143467411,0.134208083,0.153986171
3/30/2004,0.180258569,0.155162481,0.187539345,0.168577593,0.173262864,0.163944837,0.168753723,0.161200009,0.16120135,0.156922839,0.154681981,0.155398409,0.161828725
3/31/2004,0.195139989,0.181760997,0.149447262,0.110456467,0.131920278,0.074161626,0.078941241,0.073601581,0.072954756,0.074033581,0.089918965,0.090424895,0.099677354
4/1/2004,0.139619961,0.094722338,0.151757017,0.142826572,0.157563791,0.122851677,0.107368931,0.108475618,0.11335782,0.109195344,0.088003859,0.134692997,0.109918277
4/2/2004,0.195139989,0.181760997,0.189429998,0.166415322,0.159923003,0.143000171,0.146688892,0.13590708,0.145843186,0.126631007,0.159266952,0.168709993,0.17313518
4/3/2004,0.172429651,0.113042168,0.1581617,0.13261123,0.157784611,0.115939356,0.095478587,0.095935069,0.088510044,0.093675278,0.08408843,0.094134003,0.085062511
4/4/2004,0.17527008,0.14357014,0.178865203,0.161940634,0.173811235,0.166578194,0.1642531,0.160378599,0.156417294,0.157803622,0.145933712,0.145737827,0.142768612
4/5/2004,0.14778249,0.111599483,0.162299991,0.134567094,0.124625675,0.110656984,0.101817245,0.102001566,0.084756624,0.080318004,0.080158953,0.080362007,0.08819668
4/6/2004,0.176435297,0.151332706,0.145967558,0.127205869,0.122363724,0.114122435,0.106221855,0.109938897,0.099210851,0.104782939,0.10237303,0.106420087,0.108639385
4/7/2004,0.182992995,0.154391006,0.162299991,0.14108475,0.14305117,0.126051443,0.120354756,0.110237372,0.112873773,0.098266989,0.110084339,0.098338,0.113070373
4/8/2004,0.175992844,0.140314231,0.163404897,0.153287336,0.145404875,0.14420332,0.14393568,0.151356488,0.160440668,0.160541773,0.150760493,0.150720874,0.146826822
4/9/2004,0.14778249,0.146195501,0.147659987,0.129420618,0.137077644,0.130040096,0.131868221,0.128973993,0.126917217,0.126631007,0.129419974,0.134692997,0.125768607
4/10/2004,0.12509799,0.078940995,0.135833323,0.120277441,0.140981326,0.129006388,0.125431237,0.123355308,0.11859503,0.118781,0.116657977,0.118692003,0.113219648
4/11/2004,0.216467432,0.194678366,0.22323209,0.203773469,0.199660122,0.192892104,0.176520914,0.180896565,0.174692214,0.169581413,0.172633747,0.168346939,0.163512573
4/12/2004,0.182992995,0.122818999,0.175720006,0.161750267,0.143957422,0.137639507,0.123287666,0.111309124,0.114911065,0.063116275,0.110225505,0.09347475,0.105103266
4/13/2004,0.184717571,0.153724847,0.189128502,0.172905732,0.174402399,0.170823094,0.165107381,0.164932474,0.154270066,0.154338316,0.148017521,0.143952542,0.135519439
4/14/2004,0.215906173,0.178427592,0.215213373,0.193725541,0.222982362,0.186289445,0.203509361,0.194086924,0.20228681,0.170731008,0.180994257,0.166935816,0.187067747
4/15/2004,0.178284475,0.152815684,0.188241908,0.172112254,0.174512295,0.164004966,0.163770877,0.160670679,0.157380015,0.15523749,0.15544975,0.157385439,0.164942513
4/16/2004,0.195139989,0.167989999,0.175720006,0.149772656,0.154291606,0.131208093,0.135125447,0.120518985,0.129997333,0.108523995,0.129554067,0.126692504,0.128403214
4/17/2004,0.17164652,0.127501935,0.158656746,0.136699006,0.170301512,0.121513166,0.12055783,0.123101167,0.12722525,0.125492156,0.109379701,0.132318243,0.098889098
4/18/2004,0.169124007,0.154391006,0.169009984,0.141118934,0.148673661,0.127973958,0.13652853,0.129481022,0.139946756,0.126631007,0.156572382,0.168709993,0.174058537
4/19/2004,0.135845944,0.091720656,0.129691273,0.106461398,0.1276135,0.093820162,0.066888437,0.077310987,0.065186173,0.064660735,0.075049601,0.069305338,0.06379091
4/20/2004,0.18210873,0.149346778,0.179966641,0.165257646,0.166099172,0.16413946,0.157921647,0.159862093,0.153049961,0.152145361,0.145350475,0.142162307,0.142339863
4/21/2004,0.139507994,0.089660518,0.135833323,0.11795454,0.11806029,0.114885706,0.097447929,0.104775852,0.087434378,0.098266989,0.080716148,0.072550416,0.07310366
4/22/2004,0.160539715,0.122516073,0.160812661,0.135731593,0.108962268,0.112757474,0.095742539,0.106701531,0.094294891,0.099073939,0.095011621,0.099418058,0.102323998
4/23/2004,0.182992995,0.154391006,0.162299991,0.138687103,0.148316168,0.123988154,0.123083209,0.106441395,0.116855121,0.080318004,0.112432841,0.098338,0.118968423
