Date,Average of pres0,Average of pres1,Average of pres2,Average of pres3,Average of pres4,Average of pres5,Average of pres6,Average of pres7,Average of pres8,Average of pres9,Average of pres10,Average of pres11,Average of pres12,Average of pres13,Average of pres14,Average of pres15,Average of pres16,Average of pres17,Average of pres18,Average of pres19,Average of pres20,Average of pres21,Average of pres22,Average of pres23,Average of pres24,Average of pres25,Average of pres26,Average of pres27,Average of pres28,Average of pres29,Average of pres30,Average of pres31,Average of pres32,Average of pres33,Average of pres34,Average of pres35
1/22/2004,102188.7615,102182.1604,102158.0078,102117.1488,102191.6246,102190.2101,102158.3779,102095.0518,102188.0543,102185.1912,102177.4774,102135.1698,102181.8894,102151.8775,102117.4527,102105.4276,102148.9132,102108.5259,102077.5366,102057.7303,102087.6752,102072.1131,101979.7516,101967.6579,101984.3655,101961.4609,101939.1957,101922.5551,101987.0267,101841.7808,101801.3935,101828.139,102020.1723,101845.0144,101765.9223,101749.25
1/23/2004,102197.3234,102192.7602,102167.9113,102127.3128,102195.82,102193.679,102166.6311,102107.4728,102194.4307,102198.1586,102201.2469,102159.981,102187.0285,102169.0251,102149.4905,102141.644,102155.5289,102120.607,102103.606,102097.9851,102095.2296,102077.588,101999.2018,101999.5082,101991.5496,101961.1637,101944.6899,101934.0326,101986.5126,101835.7232,101794.5129,101822.6729,102010.0543,101833.6094,101753.8319,101743.4796
1/24/2004,102146.2054,102142.5514,102122.9251,102092.9788,102139.4857,102138.9264,102113.113,102063.2184,102133.3249,102135.3512,102134.5247,102100.4987,102123.7783,102101.0853,102075.2451,102070.152,102085.6715,102047.1667,102027.1387,102020.8988,102017.7786,101995.2184,101917.5391,101921.9118,101911.2451,101877.165,101865.6185,101862.1787,101909.9385,101757.9118,101719.832,101756.099,101935.1383,101759.1393,101683.2979,101677.6185
1/25/2004,101780.1214,101792.6303,101782.071,101751.2631,101765.082,101787.1612,101778.3182,101725.8384,101754.668,101775.8746,101790.7393,101761.038,101746.8427,101738.522,101724.6161,101727.9624,101715.1037,101688.7472,101677.5483,101677.4599,101652.005,101644.7042,101573.169,101580.326,101548.3253,101530.6665,101524.1506,101524.8203,101552.7475,101412.6165,101380.5291,101422.0419,101588.9066,101416.4268,101343.0891,101343.1761
1/26/2004,101576.5774,101575.0833,101558.9624,101535.5863,101568.4394,101569.5056,101546.5878,101504.3478,101563.1369,101566.3981,101566.6105,101537.6283,101554.9993,101534.3359,101509.5904,101506.1771,101510.8092,101479.8144,101461.4981,101457.5662,101433.0949,101425.1403,101352.7288,101360.2556,101319.5714,101304.6987,101298.5428,101297.5967,101322.8318,101186.6336,101154.2984,101190.8694,101358.4282,101188.8583,101114.375,101112.455
1/27/2004,101559.9332,101563.3072,101546.6388,101516.1513,101540.3253,101546.7834,101523.6857,101476.0355,101526.1293,101528.3693,101522.6676,101493.8097,101515.772,101487.0604,101452.2095,101447.3516,101480.5146,101438.0124,101410.0281,101395.2209,101411.3945,101392.9215,101309.4609,101303.2635,101299.1612,101272.6893,101252.7912,101239.2347,101286.0423,101142.1296,101101.5774,101128.6605,101302.1584,101133.1108,101056.9805,101045.1697
1/28/2004,102104.0867,102092.0227,102064.4703,102028.3102,102120.1191,102103.9578,102063.959,102010.359,102121.5902,102109.9105,102099.3832,102061.9418,102110.4535,102079.8949,102049.8781,102040.6945,102076.7906,102034.9016,102008.1508,101992.6301,102017.8148,101996.8875,101908.2789,101899.575,101916.7578,101889.6551,101867.7348,101849.0469,101924.4398,101776.8543,101734.1984,101753.6223,101960.5988,101783.7027,101700.7582,101679.8621
1/29/2004,102226.0688,102225.1842,102207.356,102176.4535,102229.7563,102233.596,102209.7336,102155.9133,102231.1882,102236.5822,102238.5335,102201.8702,102229.0859,102208.8493,102184.4989,102177.1548,102199.4323,102164.0495,102141.1622,102129.2158,102143.4781,102125.5275,102039.6161,102033.3062,102047.7217,102016.7887,101994.9063,101976.1637,102052.5673,101901.131,101856.8185,101875.1968,102085.0856,101907.5007,101827.8664,101809.7329
1/30/2004,101509.9007,101511.6685,101495.6682,101468.3311,101510.6016,101515.051,101496.2772,101449.7094,101513.1615,101523.7065,101533.612,101501.3367,101510.0833,101499.417,101486.5249,101484.4215,101480.1864,101453.3069,101440.9319,101439.0435,101421.3069,101412.7128,101338.8679,101342.9829,101321.5878,101301.1693,101290.8981,101287.2723,101324.9702,101182.7693,101148.2098,101184.994,101359.2571,101186.4874,101109.3828,101108.8635
1/31/2004,101337.5917,101336.2296,101319.0323,101291.5968,101334.8373,101338.7609,101321.9535,101278.6002,101336.7853,101349.9195,101363.9161,101336.8964,101332.6668,101326.3787,101319.3383,101321.6478,101308.5421,101282.5248,101274.2877,101275.0391,101262.2388,101246.2955,101174.6705,101179.9015,101175.3658,101142.7816,101131.9304,101129.6753,101179.484,101031.3387,100995.3594,101033.2035,101209.2588,101037.7378,100962.6637,100959.3526
